276814;299116,299543;297109#
297126;300545,268183,299116;#
306936;297107;299118,299112#
297109;;276814,297126,299543#
299118;299120,297126,297109;#
253085;273470,299127,306936;#
267919;306936,269073,300709;#
294241;293099,297111;293742#
299115;293131,253085;299110#
297125;297113;294241,273470#
297107;239533,273470;297112#
269073;253085,297107,299548;#
299116;293103,300709,294241;#
299110;299127,297112,299118;#
297112;299124,297109,297125;#
299112;299128,297113,299120;#
297113;299123,299110,299124;#
297111;268183,306936,299120;#
300545;299112,299128;299120#
300709;299115,299116;299111#
293742;269073,239533;297111#
239533;;#
299128;297126,300545,293131;#
297110;293742,267919,297112;#
299111;293131,299112,297126;#
267674;299110,293131,297113;#
293131;297125;299123,269073#
299127;;297110,299124,267674#
299543;300709,297110,299123;#
293099;299543,299115,239533;#
299120;299118,293742,293103;#
299123;297112,299548,299127;#
299548;297109,297125;239533#
268183;297111,293099,253085;#
299124;294241,293103,300545;#
293103;267674,276814,267919;#
273470;299548,299111;299115#
